genus,hyb,species
Rosa,x,alpestris
Rosa,x,andegavensis
Rosa,x,atlantica
Rosa,x,avrayensis
Rosa,x,baxanensis
Rosa,x,belnensis
Rosa,x,bengyana
Rosa,x,bigeneris
Rosa,x,binaloudensis
Rosa,x,bishopii
Rosa,x,biturigensis
Rosa,x,bolanderi
Rosa,x,canadensis
Rosa,x,caviniacensis
Rosa,x,centifolia
Rosa,x,churchillii
Rosa,x,clinophylla
Rosa,x,consanguinea
Rosa,x,cottetii
Rosa,x,damascena
Rosa,x,dryadea
Rosa,x,dulcissima
Rosa,x,dumalis
Rosa,x,dumetorum
Rosa,x,engelmannii
Rosa,x,fernaldiorum
Rosa,x,gilmaniana
Rosa,x,glaucoides
Rosa,x,grovesii
Rosa,x,hainesii
Rosa,x,harmsiana
Rosa,x,henryana
Rosa,x,hibernica
Rosa,x,hodgdonii
Rosa,x,housei
Rosa,x,hyogoensis
Rosa,x,involuta
Rosa,x,iwara
Rosa,x,kotschyana
Rosa,x,longicolla
Rosa,x,makinoana
Rosa,x,margerisonii
Rosa,x,massiana
Rosa,x,medioccidentis
Rosa,x,mikawamontana
Rosa,x,misimensis
Rosa,x,molletorum
Rosa,x,molliformis
Rosa,x,momiyamae
Rosa,x,nitidula
Rosa,x,novae-angliae
Rosa,x,odorata
Rosa,x,oldhamii
Rosa,x,oligocarpa
Rosa,x,oxyodontoides
Rosa,x,ozcelikii
Rosa,x,palustriformis
Rosa,x,paulii
Rosa,x,pervirens
Rosa,x,piptocalyx
Rosa,x,polliniana
Rosa,x,praegeri
Rosa,x,pseudorusticana
Rosa,x,pulcherrima
Rosa,x,reversa
Rosa,x,rothschildii
Rosa,x,rouyana
Rosa,x,sabinii
Rosa,x,salaevensis
Rosa,x,scabriuscula
Rosa,x,spinulifolia
Rosa,x,suberecta
Rosa,x,suberectiformis
Rosa,x,subpomifera
Rosa,x,toddiae
Rosa,x,verticillacantha
Rosa,x,victoriana
Rosa,x,vituperabilis
Rosa,x,waitziana
Rosa,x,warleyensis
